date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:19	275/275	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Oct%202023%2018:14:19%20GMT	http://85.192.34.140/robots.txt		(from )
23:14:19	367952/367952	---M-Z	200	added ('OK')	text/html	etag:%2259d50-5eb2b30d5eac0-gzip%22	http://85.192.34.140/theory/	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/index.html	(from )
23:14:20	24067/24067	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-5e03%22	https://cdnjs.cloudflare.com/ajax/libs/KaTeX/0.9.0-alpha2/katex.min.css	C:/Users/Brillz/Desktop/Theory/copy/theory/cdnjs.cloudflare.com/ajax/libs/KaTeX/0.9.0-alpha2/katex.min.css	(from http://85.192.34.140/theory/)
23:14:20	138554/138554	---M-Z	200	added ('OK')	text/html	etag:%2221d3a-5eb2adf5b2700-gzip%22	http://85.192.34.140/theory/oop/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/oop/index.html	(from http://85.192.34.140/theory/)
23:14:21	367952/367952	---M-Z	200	added ('OK')	text/html	etag:%2259d50-5eb2b30d5eac0-gzip%22	http://85.192.34.140/theory/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/index-2.html	(from http://85.192.34.140/theory/)
23:14:22	110024/110024	---M-Z	200	added ('OK')	text/html	etag:%221adc8-5eb2b3d4b0100-gzip%22	http://85.192.34.140/theory/jvm/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/jvm/index.html	(from http://85.192.34.140/theory/)
23:14:22	353224/353224	---M-Z	200	added ('OK')	text/html	etag:%22563c8-5eb2af1b6dc00-gzip%22	http://85.192.34.140/theory/core/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/core/index.html	(from http://85.192.34.140/theory/)
23:14:24	246462/246462	---M-Z	200	added ('OK')	text/html	etag:%223c2be-5eb2b395bec80-gzip%22	http://85.192.34.140/theory/jcf/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/jcf/index.html	(from http://85.192.34.140/theory/)
23:14:24	206506/206506	---M-Z	200	added ('OK')	text/html	etag:%22326aa-5eb2b3782e6c0-gzip%22	http://85.192.34.140/theory/java8/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/java8/index.html	(from http://85.192.34.140/theory/)
23:14:26	135736/135736	---M-Z	200	added ('OK')	text/html	etag:%2221238-5eb2b34d44180-gzip%22	http://85.192.34.140/theory/io/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/io/index.html	(from http://85.192.34.140/theory/)
23:14:26	101248/101248	---M-Z	200	added ('OK')	text/html	etag:%2218b80-5eb2b4425c3c0-gzip%22	http://85.192.34.140/theory/serialization/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/serialization/index.html	(from http://85.192.34.140/theory/)
23:14:26	277755/277755	---M-Z	200	added ('OK')	text/html	etag:%2243cfb-5eb2ae3d38fc0-gzip%22	http://85.192.34.140/theory/concurrency/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/concurrency/index.html	(from http://85.192.34.140/theory/)
23:14:28	310478/310478	---M-Z	200	added ('OK')	text/html	etag:%224bcce-5eb2b460e0bc0-gzip%22	http://85.192.34.140/theory/servlets/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/servlets/index.html	(from http://85.192.34.140/theory/)
23:14:30	135016/135016	---M-Z	200	added ('OK')	text/html	etag:%2220f68-5eb2b2d60e840-gzip%22	http://85.192.34.140/theory/db/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/db/index.html	(from http://85.192.34.140/theory/)
23:14:30	151043/151043	---M-Z	200	added ('OK')	text/html	etag:%2224e03-5eb2b48241a80-gzip%22	http://85.192.34.140/theory/sql/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/sql/index.html	(from http://85.192.34.140/theory/)
23:14:32	117337/117337	---M-Z	200	added ('OK')	text/html	etag:%221ca59-5eb2b3b5376c0-gzip%22	http://85.192.34.140/theory/jdbc/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/jdbc/index.html	(from http://85.192.34.140/theory/)
23:14:32	90524/90524	---M-Z	200	added ('OK')	text/html	etag:%221619c-5eb2b49cf5980-gzip%22	http://85.192.34.140/theory/test/index.html	C:/Users/Brillz/Desktop/Theory/copy/theory/85.192.34.140/theory/test/index.html	(from http://85.192.34.140/theory/)
